Слово;Частота;Ранг
the;4,184;1
and;1,990;2
of;1,856;3
a;1,512;4
to;1,442;5
he;1,047;6
was;964;7
in;917;8
his;658;9
it;567;10
that;526;11
with;515;12
you;486;13
on;483;14
at;480;15
i;460;16
had;439;17
her;427;18
but;423;19
she;394;20
for;388;21
as;368;22
they;357;23
were;341;24
said;315;25
him;296;26
all;282;27
one;262;28
be;260;29
from;245;30
there;239;31
them;235;32
what;234;33
their;222;34
not;218;35
bernard;217;36
an;212;37
out;209;38
by;207;39
savage;195;40
so;193;41
into;192;42
is;192;43
then;187;44
like;185;45
up;182;46
lenina;180;47
have;177;48
or;156;49
more;156;50
its;146;51
do;144;52
no;140;53
me;134;54
we;132;55
if;126;56
down;125;57
this;125;58
when;122;59
about;121;60
now;120;61
been;119;62
dont;119;63
which;117;64
little;114;65
my;112;66
made;111;67
again;111;68
are;109;69
time;109;70
voice;105;71
eyes;101;72
would;101;73
man;100;74
round;99;75
linda;99;76
two;99;77
though;97;78
face;96;79
only;95;80
over;94;81
away;94;82
still;93;83
well;92;84
went;92;85
himself;91;86
back;91;87
very;90;88
after;89;89
than;89;90
know;89;91
room;88;92
other;87;93
being;86;94
every;86;95
who;83;96
could;82;97
old;82;98
director;82;99
suddenly;81;100
too;81;101
how;80;102
even;80;103
some;79;104
why;78;105
those;77;106
head;76;107
came;76;108
any;75;109
helmholtz;75;110
course;75;111
through;74;112
go;73;113
hand;73;114
men;73;115
say;71;116
first;71;117
young;71;118
oh;71;119
come;70;120
words;69;121
see;68;122
another;68;123
began;68;124
long;67;125
door;67;126
asked;67;127
im;67;128
make;67;129
something;66;130
looked;65;131
good;65;132
can;65;133
once;65;134
almost;62;135
got;62;136
did;62;137
world;62;138
silence;62;139
three;62;140
think;62;141
our;62;142
soma;61;143
much;61;144
mr;59;145
because;59;146
last;58;147
ford;57;148
way;57;149
just;57;150
yes;56;151
never;56;152
henry;56;153
take;56;154
repeated;55;155
turned;55;156
people;55;157
moment;54;158
hundred;53;159
put;52;160
without;52;161
foster;52;162
your;52;163
before;52;164
where;51;165
really;51;166
towards;51;167
these;50;168
new;50;169
most;50;170
here;50;171
john;50;172
